time,theta_PID1_noload,theta_PID2_noload,theta_PID3_noload,theta_ref,Volt_PID1_noload,Volt_PID2_noload,Volt_PID3_noload
1.46,103.782406414912,121.410420677472,105.603276923634,90,-2.91437277941494,-10.849491030629,-2.16758015801706
1.47,99.9922555485408,116.041511429246,103.151501283247,90,-1.62507448234662,-9.37916390770074,-1.4107369695437
1.48,96.3252419195293,110.610714845666,100.770342878781,90,-0.372678819962137,-7.85007841602554,-0.682317809785699
1.49,92.8245771068297,105.178571882169,98.4862262335605,90,0.827739042776689,-6.2809449421615,0.0101187573002843
1.5,89.5293012518161,99.8039153490943,96.3226794866416,90,1.96247155648669,-4.69037590514745,0.659932978920033
1.51,86.4739498796333,94.5432621160542,94.3002152763068,90,3.01930030531153,-3.09668084497988,1.26143169234173
1.52,83.6882956300021,89.4502489414078,92.4362569864532,90,3.98759225048929,-1.51767087757077,1.80988244558733
1.53,81.1971649919593,84.5751169504838,90.7451085188497,90,4.85837054633988,0.0295255743985534,2.30151461517839
1.54,79.0203291329939,79.9642490958893,89.2379653162444,90,5.62436012126999,1.52863404711071,2.73350830055566
1.55,77.1724669661093,75.6597642149213,87.922963978808,90,6.28000854413697,2.96439076584031,3.10397188169389
1.56,75.6631977185314,71.6991705615164,86.8052674908678,90,6.82148300245295,4.32268351495485,3.41190921560011
1.57,74.49717946181,68.1150809421057,85.8871828069347,90,7.24664450033764,5.59067553865161,3.6571775187708
1.58,73.6742693422289,64.9349908348195,85.1683073355324,90,7.5550006382026,6.75691158523629,3.84043703647766
1.59,73.1897406186263,62.1811201281162,84.6457007054433,90,7.74763856071013,7.81140543300056,3.96309363634633
1.6,73.0345510763829,59.870318386189,84.3140781001814,90,7.82713985292621,8.74570846180656,4.02723548367706
1.61,73.1956569444266,58.0140328421209,84.1660214006769,90,7.79747932559671,9.55295905879156,4.0355649600917
1.62,73.6563660982297,56.6183376429565,84.1922043806391,90,7.66390975842219,10.2279128667159,3.99132697629447
1.63,74.396724086118,55.6840222303028,84.3816282507499,90,7.43283476486221,10.7669540970574,3.89823480505141
1.64,75.393926367664,55.2067361418648,84.7218639431655,90,7.11167200359253,11.1680883348158,3.76039452308657
1.65,76.6227500991283,55.1771869688947,85.199297662924,90,6.7087089909252,11.4309174560956,3.58222910171042
1.66,78.055998838335,55.5813877066331,85.7993764036204,90,6.23295376634215,11.5565974610422,3.36840312695663
1.67,79.664953665432,56.4009492934703,86.5068503267861,90,5.69398263121739,11.5477801919437,3.12374906217328
1.68,81.4198244211758,57.6134137530256,87.3060091333377,90,5.10178712057635,11.4085400578433,2.85319589078774
1.69,83.2901950443324,59.1926230341485,88.1809098066987,90,4.4666222814237,11.1442870215927,2.56170089574311
1.7,85.2454573374207,61.1091183887186,89.1155933762181,90,3.7988582210799,10.7616672219151,2.25418524628072
1.71,87.2552278976977,63.3305649370483,90.0942886318194,90,3.10883675763205,10.2684527009509,1.93547397368335
1.72,89.2897434098649,65.8221959458861,91.1016010120418,90,2.40673485472446,9.6734217864001,1.61024082662051
1.73,91.3202300000324,68.5472712839687,92.1226851835468,90,1.70243635731724,8.98623173641825,1.28295840511708
1.74,93.3192428883496,71.4675445235505,93.1434001267434,90,1.005413366634,8.21728529479777,0.957853881096831
1.75,95.2609731416908,74.5437332214642,94.1504458356339,90,0.324618404254521,7.37759282380064,0.638870524050698
