time,theta_PID3_noload,theta_PID3,theta_ref,Volt_PID3_noload,Volt_PID3,torque
4.11,89.7400558212892,90.1760562661407,90,0.0062855555986923,7.18856223873437,4.5
4.12,89.7433997611056,90.1700639669501,90,0.00617072562571178,7.1886880094276,4.5
4.13,89.7467110531023,90.1641427909408,90,0.00607141495442624,7.18882481629315,4.5
4.14,89.7499865859687,90.1582905719763,90,0.00598787112899411,7.18897298510252,4.5
4.15,89.7532241336898,90.1525057520772,90,0.0059200916098523,7.18913265121952,4.5
4.16,89.7564223064969,90.1467873555828,90,0.0058678401564953,7.18930376912829,4.5
4.17,89.7595804948231,90.1411349571956,90,0.00583066514693462,7.18948612368858,4.5
4.18,89.7626988073937,90.1355486446992,90,0.00580791948417169,7.18967934287024,4.5
4.19,89.7657780045825,90.13002897716,90,0.00579878174121629,7.18988291171498,4.5
4.2,89.7688194281602,90.1245769394292,90,0.00580227820186836,7.19009618727374,4.5
4.21,89.771824928534,90.1191938937586,90,0.0058173054640667,7.19031841427064,4.5
4.22,89.7747967905454,90.1138815293307,90,0.00584265328585476,7.19054874125082,4.5
4.23,89.7777376588428,90.1086418104808,90,0.00587702737048997,7.19078623697807,4.5
4.24,89.7806504637928,90.1034769243569,90,0.00591907180649746,7.19102990685918,4.5
4.25,89.7835383488245,90.098389228725,90,0.00596739090022389,7.19127870918549,4.5
4.26,89.7864046000311,90.0933812005824,90,0.00602057016214202,7.19153157099693,4.5
4.27,89.7892525787735,90.0884553861909,90,0.006077196233386,7.19178740339071,4.5
4.28,89.7920856579457,90.0836143530838,90,0.00613587556550053,7.19204511611468,4.5
4.29,89.7949071624789,90.0788606445466,90,0.006195251693519,7.19230363130403,4.5
4.3,89.7977203145677,90.0741967370031,90,0.00625402097002773,7.19256189623966,4.5
4.31,89.8005281840157,90.0696250006813,90,0.00631094665545863,7.19281889502626,4.5
4.32,89.8033336440099,90.0651476638639,90,0.00636487128692838,7.19307365910804,4.5
4.33,89.8061393325411,90.0607667809676,90,0.00641472727455008,7.19332527655964,4.5
4.34,89.808947619608,90.0564842046299,90,0.0064595456995966,7.19357290010928,4.5
4.35,89.8117605802586,90.0523015619216,90,0.00649846331320471,7.19381575386969,4.5
4.36,89.8145799734454,90.0482202347424,90,0.00653072775715465,7.19405313877017,4.5
4.37,89.8174072266003,90.0442413444014,90,0.00655570104937145,7.19428443670008,4.5
4.38,89.8202434257668,90.0403657403305,90,0.00657286139618335,7.19450911338967,4.5
4.39,89.8230893110686,90.0365939928298,90,0.00658180341068459,7.19472672006846,4.5
4.4,89.8259452772381,90.032926389699,90,0.00658223683186673,7.19493689395449,4.5
4.41,89.8288113788831,90.0293629365677,90,0.00657398385237484,7.19513935763926,4.5
4.42,89.8316873401275,90.0259033607042,90,0.00655697517371722,7.19533391744318,4.5
4.43,89.8345725682311,90.0225471180474,90,0.00653124491661292,7.1955204608247,4.5
4.44,89.8374661707659,90.0192934031869,90,0.00649692452079341,7.19569895293336,4.5
4.45,89.8403669759077,90.0161411619903,90,0.00645423577321954,7.19586943240224,4.5
